label,doi,mendeley_tags,title,year,byproduct
ISI.000488301000002,10.17306/J.AFS.2019.0663,"Antioxidant activity,Beverages,Bioactive compounds,Food,Food and feed,Polyphenols","ANTIOXIDANT CAPACITY, BIOACTIVE COMPOUNDS IN COFFEE PULP AND IMPLEMENTATION IN THE PRODUCTION OF INFUSIONS",2019,Pulp
Berecha2011255,10.3923/ijar.2011.255.267,"Composting,Environmental applications",Exploring the suitability of coffee pulp compost as growth media substitute in greenhouse production,2011,Pulp
ISI.000238797300006,10.1016/j.carres.2006.04.020,"Bioactive compounds,Enzymes,Microbial transformation,Phenolic compounds",Feruloyl esterases as a tool for the release of phenolic compounds from agro-industrial by-products,2006,Pulp
ISI.000401203500001,10.1016/j.nbt.2017.01.002,"Enzymes,Microbial transformation",A p-coumaroyl esterase from Rhizoctonia solani with a pronounced chlorogenic acid esterase activity,2017,Pulp
ISI.000522648200064,10.1016/j.foodchem.2020.126600,"Bioactive compounds,Caffeine,Microbial transformation,Organic acids,Phenolic compounds",Alcoholic fermentation as a potential tool for coffee pulp detoxification and reuse: Analysis of phenolic composition and caffeine content by HPLC-DAD-MS/MS,2020,Pulp
ISI.000555863500013,10.24275/rmiq.Bio1612,"Antimicrobial,Bioactive compounds,Phenols,Preservatives",Wet processing coffee waste as an alternative to produce extracts with antifungal activity: In vitro and in vivo valorization,2020,Pulp
Heeger2017969,10.1016/j.foodchem.2016.11.067,"Antioxidant activity,Beverages,Bioactive compounds,Caffeine,Food,Food and Feed,Phenolic compounds,Polyphenols",Bioactives of coffee cherry pulp and its utilisation for production of Cascara beverage,2017,Pulp
ISI.000444357200012,10.1016/j.foodres.2018.06.026,"Antioxidant activity,Bioactive compounds,Food,Food and feed,Nutraceuticals",Valorizing coffee pulp by-products as anti-inflammatory ingredient of food supplements acting on IL-8 release,2018,Pulp
Calzada1984217,10.1016/0141-4607(84)90081-7,"Biofuels,Biogas,Microbial transformation",Biogas production from coffee pulp juice: One- and two-phase systems,1984,Pulp
KieuTran2020,10.1016/j.heliyon.2020.e04498,"Antioxidant activity,Bioactive compounds,Caffeine,Phenolic compounds","Effects of drying on physical properties, phenolic compounds and antioxidant capacity of Robusta wet coffee pulp (Coffea canephora)",2020,Pulp
ISI.000338711100019,10.1016/j.biortech.2014.05.031,"Bioethanol,Biofuels,Microbial transformation",Utilization of coffee by-products obtained from semi-washed process for production of value-added compounds,2014,Pulp
ISI.000429086400001,10.1155/2018/2961767,"Enzymes,Microbial transformation",Screening and Molecular Identification of Pectinase Producing Microbes from Coffee Pulp,2018,Pulp
ISI.000461639100019,10.1016/j.biombioe.2019.01.025,"Bioadsorbents,Biochar,Gasification,Syngas",A chemical equilibrium model for biomass gasification. Application to Costa Rican coffee pulp transformation unit,2019,Pulp
Navia2011287,NA,"Beverages,Food and feed,Microbial transformation",Production and evaluation of ethanol from coffee processing by-products [Obtenci{\'{o}}n y evaluaci{\'{o}}n de etanol a partir de los subproductos del beneficio de caf{\'{e,2011,Pulp
ISI.000464849500019,10.1007/s10570-019-02344-w,"Biomaterials,Biopolymers,Materials",Bio-sourced porous cellulose microfibrils from coffee pulp for wastewater treatment,2019,Pulp
Rolz1980207,10.1016/0141-4607(80)90017-7,"Bioactive compounds,Composting,Ensiling,Environmental applications,Microbial transformation",Pressing of coffee pulp,1980,Pulp
Kusumocahyo2020,10.1088/1755-1315/443/1/012052,"Antioxidant activity,Beverages,Bioactive compounds,Food,Phenolic compounds",Optimization of the extraction process of coffee pulp as a source of antioxidant,2020,Pulp
ISI.000279713700005,10.1007/s11250-009-9491-8,"Bioactive compounds,Feed","Feed intake, digestibility, nitrogen utilization, and body weight change of sheep consuming wheat straw supplemented with local agricultural and agro-industrial by-products",2010,Pulp
Prez.Morales2011352,NA,"Bioactive compounds,Enzymes,Microbial transformation,Polyphenols",Feruloyl esterase activity from coffee pulp in solid-state fermentation,2011,Pulp
Ortiz2017,NA,"Bioactive compounds,Feed",Performance of Zebu steers supplemented with arboreal and agro-industrial by-products [Desempe{\~{n}}o productivo de novillos ceb{\'{u}} suplementados con Gliricidia sepium y recursos agroindustriales],2017,Pulp
ISI.000562360800002,10.1007/s13197-020-04738-2,"Bioactive compounds,Food,Polyphenols","Ultrasound processing of coffee silver skin, brewer's spent grain and potato peel wastes for phenolic compounds and amino acids: a comparative study",2020,Silverskin
ISI.000330155700035,10.1016/j.foodchem.2013.10.100,"Antioxidant activity,Beverages,Bioactive compounds,Caffeine,Food,Food and feed,Nutraceuticals",A novel antioxidant beverage for body weight control based on coffee silverskin,2014,Silverskin
ISI.000504754700004,NA,"Antioxidant activity,Bioactive compounds,Cosmetics",Utilization of Coffee Silverskin By-Product from Coffee Roasting Industry through Extraction Process for the Development of Antioxidant Skin Gel,2019,Silverskin
ISI.000445164200102,10.1016/j.scitotenv.2018.07.201,"Beverages,Bioactive compounds,Cosmetics,Food,Nutraceuticals",Coffea canephora silverskin from different geographical origins: A comparative study,2018,Silverskin
ISI.000460513600004,10.2478/helm-2018-0038,"Biopesticides,Environmental applications",Effect of coffee silver skin and brewers' spent grain in the control of root-knot nematodes,2019,Silverskin
ISI.000483025200005,10.31883/pjfns-2019-0012,"Bioactive compounds,Food,Food and feed","Nutritional Quality, Potential Health Promoting Properties and Sensory Perception of an Improved Gluten-Free Bread Formulation Containing Inulin, Rice Protein and Bioactive Compounds Extracted from Coffee Byproducts",2019,Silverskin
ISI.000536130000011,10.1016/j.foodres.2020.109128,"Bioactive compounds,Caffeine,Nutraceuticals,Polyphenols",Coffee silverskin extracts: Quantification of 30 bioactive compounds by a new HPLC-MS/MS method and evaluation of their antioxidant and antibacterial activities,2020,Silverskin
Procentese2018139,10.3303/CET1864024,"Butanol,Coffee Silverskin,Microbial transformation",Coffee silverskin as a renewable resource to produce butanol and isopropanol,2018,Silverskin
ISI.000346539600060,10.3303/CET1438059,"Bioadsorbents,Environmental applications",Magnetically Modified Agro-Industrial Wastes as Efficient and Easily Recoverable Adsorbents for Water Treatment,2014,Silverskin
ISI.000378761600005,10.9755/ejfa.2015-09-750,"Beverages,Bioactive compounds,Food,Food and feed","Linear programming formulation of a dairy drink made of cocoa, coffee and orange by-products",2016,Silverskin
DelPozo20191292,NA,"Bio-oil,Bioadsorbents,Biochar,Pyrolysis,Syngas",Converting coffee silverskin to value-added products under a biorefinery approach,2019,Silverskin
ISI.000348831200011,10.3109/13880209.2014.922589,"Antimicrobial,Antioxidant activity,Bioactive compounds,Cosmetics",Coffee silverskin: A possible valuable cosmetic ingredient,2015,Silverskin
ISI.000367853800010,10.3109/03639045.2015.1035279,"Antioxidant activity,Bioactive compounds,Cosmetics",Application of Coffee Silverskin in cosmetic formulations: physical/antioxidant stability studies and cytotoxicity effects,2016,Silverskin
ISI.000424177100007,10.1016/j.jaap.2017.12.005,"Bio-oil,Bioadsorbents,Biochar,Environmental applications,Pyrolysis,Syngas",Valorization of coffee silverskin industrial waste by pyrolysis: From optimization of bio-oil production to chemical characterization by GC x GC/qMS,2018,Silverskin
Martinez.Saez2018307,10.1016/B978-0-08-100596-5.22136-7,"Bakery products,Beverages,Bioactive compounds,Food",Development of sustainable novel foods and beverages based on coffee by-products for chronic diseases,2018,Silverskin
ISI.000338389500005,10.1016/j.foodres.2014.05.003,"Beverages,Bioactive compounds,Food","Chemical characterization and antioxidant properties of a new coffee blend with cocoa, coffee silverskin and green coffee minimally processed",2014,Silverskin
ISI.000567295800001,10.3390/foods9081008,"Bioactive compounds,Food,Food and feed",Evaluation of the Use of a Coffee Industry By-Product in a Cereal-Based Extruded Food Product,2020,Silverskin
ISI.000373821900006,10.3109/03639045.2015.1088865,"Antioxidant activity,Bioactive compounds,Cosmetics","Exploring the antioxidant potentiality of two food by-products into a topical cream: stability, in vitro and in vivo evaluation",2016,Silverskin
ISI.000535695900128,10.3390/molecules25092132,"Antioxidant activity,Bioactive compounds,Food,Food and feed,Phenolic compounds",In Vitro Bioaccessibility and Antioxidant Activity of Coffee Silverskin Polyphenolic Extract and Characterization of Bioactive Compounds Using UHPLC-Q-Orbitrap HRMS,2020,Silverskin
Hijosa.Valsero2018,10.1186/s12934-018-1002-z,"Butanol,Microbial transformation",Biobutanol production from coffee silverskin,2018,Silverskin
ISI.000426727500012,10.1007/s11947-017-2045-6,"Bioactive compounds,Food,Nutraceuticals,Phenolic compounds",Pulsed Electric Field Assisted Extraction of Bioactive Compounds from Cocoa Bean Shell and Coffee Silverskin,2018,Silverskin
ISI.000510424900013,10.1016/j.aquaculture.2019.734659,"Bioactive compounds,Feed",Black Soldier Fly (Hermetia illucens) reared on roasted coffee by-product and Schizochytrium sp. as a sustainable terrestrial ingredient for aquafeeds production,2020,Silverskin
ISI.000338612500044,10.1016/j.indcrop.2014.01.006,"Antioxidant activity,Bioactive compounds","Optimization of antioxidants extraction from coffee silverskin, a roasting by-product, having in view a sustainable process",2014,Silverskin
ISI.000550355400001,10.3390/molecules25132993,"Bioactive compounds,Caffeine,Cosmetics,Food,Nutraceuticals,Odorants,Polyphenols","Characterization of Odor-Active Compounds, Polyphenols, and Fatty Acids in Coffee Silverskin",2020,Silverskin
ISI.000346539600060,10.3303/CET1438059,"Bioadsorbents,Environmental applications",Magnetically Modified Agro-Industrial Wastes as Efficient and Easily Recoverable Adsorbents for Water Treatment,2014,Spent_coffee grounds
Martinez.Saez2018307,10.1016/B978-0-08-100596-5.22136-7,"Bakery products,Beverages,Bioactive compounds,Food",Development of sustainable novel foods and beverages based on coffee by-products for chronic diseases,2018,Spent_coffee grounds
ISI.000542094700001,10.1007/s42729-020-00271-5,"Environmental applications,Fertilizers",Utilization of Spent Coffee Grounds as Media for Stone Pine (Pinus pinea) Seedlings,2020,Spent_coffee grounds
ISI.000552303200038,10.1007/s12649-019-00793-9,Bioactive compounds,Sustainable Management and Valorization of Spent Coffee Grounds Through the Optimization of Thin Layer Hot Air-Drying Process,2020,Spent_coffee grounds
ISI.000502798800122,10.3390/ma12213581,"Construction materials,Materials",Spent Coffee Grounds in the Production of Lightweight Clay Ceramic Aggregates in View of Urban and Agricultural Sustainable Development,2019,Spent_coffee grounds
Haile201465,10.18331/BRJ2015.1.2.6,"Biodiesel,Biofuels,Fuel pellet,Solid fuels",Integrated volarization of spent coffee grounds to biofuels,2014,Spent_coffee grounds
Nenni2020966,NA,"Biodiesel,Bioethanol,Microbial transformation",Comparative life cycle environmental analysis of various end-of-life strategies for spent coffee grounds,2020,Spent_coffee grounds
Pscoa2013579,10.1016/j.foodres.2013.01.035,"Antioxidant activity,Bioactive compounds",FT-NIR spectroscopy as a tool for valorization of spent coffee grounds: Application to assessment of antioxidant properties,2013,Spent_coffee grounds
ISI.000464088300022,10.1016/j.fbp.2019.01.006,Bioactive compounds,The role of heating step in microwave-assisted extraction of polyphenols from spent coffee grounds,2019,Spent_coffee grounds
ISI.000464088300004,10.1016/j.fbp.2018.11.004,"Bioactive compounds,Cosmetics","Eco-sustainable recovery of antioxidants from spent coffee grounds by microwave-assisted extraction: Process optimization, kinetic modeling and biological validation",2019,Spent_coffee grounds
ISI.000536053400011,10.1016/j.foodchem.2020.126836,"Bioactive compounds,Food,Nutraceuticals",Spent coffee grounds: A potential commercial source of phytosterols,2020,Spent_coffee grounds
Simes201381,10.1016/j.carbpol.2013.04.067,"Bioactive compounds,Dietary fiber,Food,Polysaccharides",Extractability and structure of spent coffee ground polysaccharides by roasting pre-treatments,2013,Spent_coffee grounds
ISI.000411443200063,10.1016/j.jcou.2017.09.003,"Bio-oil,Biochar,Bioenergy,Environmental applications",Co-pyrolysis of paper mill sludge and spend coffee ground using CO2 as reaction medium,2017,Spent_coffee grounds
Burniol.Figols201654,10.1016/j.bej.2016.04.025,"Bioactive compounds,Bioethanol,Biofuels,Food,Microbial transformation",Integration of chlorogenic acid recovery and bioethanol production from spent coffee grounds,2016,Spent_coffee grounds
ISI.000543506800001,10.1111/jfpp.14648,"Bioactive compounds,Edible mushrooms,Microbial transformation",Effect of Thymus vulgaris postextraction waste and spent coffee grounds on the quality of cultivated Pleurotus eryngii,2020,Spent_coffee grounds
ISI.000500051200005,10.1016/j.fbp.2019.08.017,Bioactive compounds,Application of a screening design to recover phytochemicals from spent coffee grounds,2019,Spent_coffee grounds
ISI.000427126900007,10.1111/lam.12849,"Lactic acid,Microbial transformation,Organic acids",Biotechnological conversion of spent coffee grounds into lactic acid,2018,Spent_coffee grounds
ISI.000487567000067,10.1016/j.chemosphere.2019.06.195,"Construction materials,Materials",Spent coffee grounds as supporting materials to produce biocomposite PCM with natural waxes,2019,Spent_coffee grounds
ISI.000406564400047,10.1016/j.jenvman.2017.06.016,"Composting,Environmental applications",The positive effect of phosphogypsum-supplemented composts on potato plant growth in the field and tuber yield,2017,Spent_coffee grounds
ISI.000482514100039,10.1016/j.chroma.2019.06.016,Bio-oil,Quantitative analysis of aqueous phases of bio-oils resulting from pyrolysis of different biomasses by two-dimensional comprehensive liquid chromatography,2019,Spent_coffee grounds
ISI.000297444900024,10.1016/j.seppur.2011.09.036,"Antioxidant activity,Bioactive compounds",Extraction of antioxidant phenolic compounds from spent coffee grounds,2011,Spent_coffee grounds
ISI.000482245200003,10.1016/j.wasman.2019.07.009,Bioactive compounds,"Extraction, identification and quantification of polyphenols from spent coffee grounds by chromatographic methods and chemometric analyses",2019,Spent_coffee grounds
Le201737,10.3303/CET1756007,"Activated Carbon,Bioactive compounds,Biodiesel,Biofuels,Environmental applications,Fuel Pellet,Solid fuels",Spent coffee grounds as a valuable source of bioactive compounds and bioenergy,2017,Spent_coffee grounds
deOtlora2020,10.1016/j.anifeedsci.2020.114461,"Bioactive compounds,Feed",valorisation of spent coffee grounds as functional feed ingredient improves productive performance of Latxa dairy ewes,2020,Spent_coffee grounds
Aguilar.Raymundo2019,10.1111/jfpp.14223,"Bakery products,Bioactive compounds,Food","Spent coffee grounds cookies: Sensory and texture characteristics, proximate composition, antioxidant activity, and total phenolic content",2019,Spent_coffee grounds
ISI.000428099900076,10.1016/j.ijbiomac.2017.12.120,"Antioxidant activity,Bioactive compounds,Dietary fiber,Food,Polysaccharides",Effect of pretreatments on isolation of bioactive polysaccharides from spent coffee grounds using subcritical water,2018,Spent_coffee grounds
Martinez.Saez2017,10.1016/j.foodchem.2016.07.173,"Bakery products,Bioactive compounds,Food",Use of spent coffee grounds as food ingredient in bakery products,2017,Spent_coffee grounds
ISI.000560635800004,10.1007/s12649-020-01216-w,"Environmental applications,Fertilizers",Potential Use of Spent Coffee Grounds and Spent Tea Leaves Extracts in Priming Treatment to Promote In Vitro Early Growth of Salt-and Drought-Stressed Seedlings of Capsicum annuum L.,2020,Spent_coffee grounds
ISI.000478709000002,10.1016/j.seppur.2019.115759,"Antimicrobial,Antioxidant activity,Bioactive compounds",Valorization of spent coffee grounds by supramolecular solvent extraction,2019,Spent_coffee grounds
ISI.000480585200016,10.1007/s12010-019-03000-6,"Lactic acid,Microbial transformation,Organic acids",Lactic Acid Production from a Whole Slurry of Acid-Pretreated Spent Coffee Grounds by Engineered Saccharomyces cerevisiae,2019,Spent_coffee grounds
ISI.000344205400009,10.1016/j.cherd.2014.04.018,"Fuel pellet,Solid fuels",Pyrolysis kinetics and physicochemical properties of agropellets produced from spent ground coffee blended with conventional biomass,2014,Spent_coffee grounds
ISI.000433266000019,10.1016/j.resconrec.2018.02.002,Biodiesel,Technoeconomic and environmental assessment of a process for biodiesel production from spent coffee grounds (SCGs),2018,Spent_coffee grounds
ISI.000431236100006,10.1016/B978-0-12-811290-8.00005-0,"Antioxidant activity,Bioactive compounds",Emerging technologies for the recovery of valuable compounds from coffee processing by-products,2017,Spent_coffee grounds
ISI.000307526500006,10.1016/j.jclepro.2011.12.003,"Bioactive compounds,Bioenergy,Fuel Pellet,Heat,Solid fuels",Spent coffee grounds as a valuable source of phenolic compounds and bioenergy,2012,Spent_coffee grounds
ISI.000504165200001,10.1080/01448765.2019.1704876,"Antioxidant activity,Bioactive compounds","The effect of organic farming on total phenols, total flavonoids, brown compounds and antioxidant activity of spent coffee grounds from Mexico",2020,Spent_coffee grounds
ISI.000403120600034,10.1016/j.conbuildmat.2017.04.103,"Construction materials,Materials",Strength and microstructure properties of spent coffee grounds stabilized with rice husk ash and slag geopolymers,2017,Spent_coffee grounds
ISI.000558812000076,10.1016/j.jenvman.2020.111022,"Biocatalysts,Biochar,Environmental applications",Degradation of sulfamethoxazole with persulfate using spent coffee grounds biochar as activator,2020,Spent_coffee grounds
Song2017544,10.9721/KJFST.2017.49.5.544,"Bioactive compounds,Cosmetics",Effect of gamma irradiation on the color values and physiological properties of spent coffee ground extraction,2017,Spent_coffee grounds
ISI.000473129900028,10.1007/s00253-019-09883-z,"Bioactive compounds,Edible mushrooms,Food,Microbial transformation",Caffeine metabolism during cultivation of oyster mushroom (Pleurotus ostreatus) with spent coffee grounds,2019,Spent_coffee grounds
